id,red1,red2,red3,red4,red5,red6,blue,firstPrizeAddress,OpenTime,SaleMoney
2017045,16,25,07,21,05,20,05,"辽宁1注,四川2注,贵州1注,共4注。",2017-04-20,320562564
2017046,04,13,26,32,23,14,10,"江苏1注,河南1注,湖南1注,深圳1注,陕西1注,青海1注,共6注。",2017-04-23,348845228
2017047,33,10,08,32,05,02,02,"北京1注,河北1注,上海1注,广东2注,四川1注,共6注。",2017-04-25,313845556
2017048,09,14,15,19,05,08,07,"吉林1注,江苏2注,浙江2注,河南2注,广东1注,广西1注,四川1注,甘肃1注,共11注。",2017-04-27,317465116
2017049,14,08,15,29,01,20,10,"湖北1注,广西4注,重庆1注,甘肃1注,共7注。",2017-04-30,326777700
2017050,27,12,20,29,10,24,07,"江苏2注,浙江1注,安徽1注,四川1注,共5注。",2017-05-02,308163776
2017051,09,15,24,02,05,25,11,"河北1注,山西2注,内蒙古1注,江苏1注,福建1注,山东1注,湖北2注,广西1注,共10注。",2017-05-04,315667040
2017052,31,08,18,24,07,29,07,"安徽1注,福建2注,河南1注,陕西1注,共5注。",2017-05-07,346847224
2017053,15,04,09,31,29,11,06,"福建1注,江西1注,湖南1注,广东1注,深圳1注,云南1注,共6注。",2017-05-09,316559816
2017054,09,02,33,28,23,03,08,"浙江1注,广东1注,共2注。",2017-05-11,315730948
2017055,12,24,13,20,31,07,05,"北京1注,天津1注,河北1注,辽宁1注,江苏1注,浙江1注,广东12注,深圳1注,重庆1注,共20注。",2017-05-14,342200872
2017056,13,21,14,18,19,28,06,"山西1注,福建3注,湖北1注,广西1注,四川1注,云南1注,共8注。",2017-05-16,317424132
2017057,18,31,30,20,22,23,16,"河北1注,上海5注,安徽1注,广东2注,共9注。",2017-05-18,314697362
2017058,01,09,28,22,32,13,11,"山西1注,浙江1注,安徽1注,湖北1注,湖南1注,深圳1注,四川1注,陕西1注,共8注。",2017-05-21,338794650
2017059,15,25,09,19,08,04,09,"北京1注,河北1注,辽宁2注,黑龙江1注,上海3注,江苏1注,安徽1注,福建2注,山东5注,湖北2注,广东3注,深圳2注,四川1注,新疆1注,共26注。",2017-05-23,306145516
2017060,26,10,13,24,05,31,04,"北京1注,浙江1注,湖南1注,云南1注,共4注。",2017-05-25,320553910
2017061,06,20,12,26,07,27,11,"北京2注,辽宁6注,吉林1注,江苏2注,浙江2注,福建1注,山东1注,湖北1注,广东2注,深圳2注,广西2注,共22注。",2017-05-28,327891234
2017062,26,31,22,24,07,01,10,"辽宁1注,江西1注,共2注。",2017-05-30,292747704
2017063,12,25,22,31,20,16,04,"河北1注,广西2注,四川1注,共4注。",2017-06-01,307572084
2017064,16,10,24,02,28,22,15,"河北1注,广东1注,重庆2注,四川1注,共5注。",2017-06-04,351655222
2017065,02,08,10,12,05,21,07,"天津1注,辽宁1注,黑龙江1注,江苏2注,安徽2注,江西1注,山东2注,湖北1注,广东1注,云南1注,陕西1注,共14注。",2017-06-06,320800086
